user_id,session_id,session_path,mental_demand,physical_demand,temporal_demand,performance,effort,frustration,stress_self_report,valence,arousal,label_file,dual_task_file,dual_task_n_probes,dual_task_mean_rt_ms,dual_task_success_rate,graphs_120s_count,graphs_30s_count,graphs_5s_count,graph_format,mouse_rows,keyboard_rows,notification_rows,session_duration_minutes,has_nasa_tlx,has_graphs_120s,has_mouse,has_keyboard,has_dual_task,usable
oussama,session_20260516_164308_06d3f7,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260516_164308_06d3f7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260516_164308_06d3f7/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260516_164308_06d3f7/raw/dual_task.csv,6.0,1134.6916666666666,0.6666666666666666,16.0,61.0,361.0,json,23510,0.0,0.0,23.6,True,True,True,False,True,True
oussama,session_20260517_095040_ccf2be,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260517_095040_ccf2be,96.0,32.0,33.0,57.0,67.0,44.0,33.0,51.0,52.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260517_095040_ccf2be/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260517_095040_ccf2be/raw/dual_task.csv,4.0,1944.7875000000001,1.0,16.0,61.0,361.0,json,32631,312.0,0.0,30.0,True,True,True,True,True,True
oussama,session_20260517_102454_0566b1,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260517_102454_0566b1,87.0,59.0,55.0,64.0,46.0,29.0,25.0,75.0,56.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260517_102454_0566b1/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260517_102454_0566b1/raw/dual_task.csv,2.0,0.0,0.0,6.0,21.0,121.0,json,14478,236.0,0.0,8.5,True,True,True,True,True,True
oussama,session_20260517_171415_0ddd81,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260517_171415_0ddd81,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260517_171415_0ddd81/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260517_171415_0ddd81/raw/dual_task.csv,5.0,1903.236,0.8,16.0,61.0,361.0,json,14407,829.0,0.0,29.8,True,True,True,True,True,True
oussama,session_20260523_164010_9f2f78,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260523_164010_9f2f78,31.0,15.0,19.0,11.0,14.0,25.0,27.0,16.0,0.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260523_164010_9f2f78/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260523_164010_9f2f78/raw/dual_task.csv,6.0,857.3450000000001,0.5,16.0,61.0,361.0,json,23477,862.0,0.0,28.5,True,True,True,True,True,True
oussama,session_20260524_101641_ea7d5a,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_101641_ea7d5a,66.0,89.0,40.0,52.0,62.0,38.0,36.0,61.0,60.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_101641_ea7d5a/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_101641_ea7d5a/raw/dual_task.csv,5.0,1000.9119999999999,0.6,16.0,61.0,361.0,json,51714,1277.0,0.0,30.0,True,True,True,True,True,True
oussama,session_20260524_111728_f646d7,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_111728_f646d7,33.0,68.0,30.0,33.0,55.0,71.0,51.0,30.0,32.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_111728_f646d7/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_111728_f646d7/raw/dual_task.csv,3.0,0.0,0.0,16.0,61.0,361.0,json,36901,1081.0,0.0,28.6,True,True,True,True,True,True
oussama,session_20260524_210800_bf6b4a,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_210800_bf6b4a,31.0,65.0,33.0,39.0,8.0,71.0,17.0,19.0,5.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_210800_bf6b4a/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_210800_bf6b4a/raw/dual_task.csv,5.0,1090.09,0.6,16.0,61.0,361.0,json,24634,3509.0,0.0,29.9,True,True,True,True,True,True
oussama,session_20260524_224534_09f1ab,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_224534_09f1ab,61.0,78.0,69.0,73.0,70.0,39.0,30.0,67.0,87.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_224534_09f1ab/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_224534_09f1ab/raw/dual_task.csv,5.0,1951.8760000000002,1.0,16.0,61.0,361.0,json,52981,2134.0,0.0,30.0,True,True,True,True,True,True
oussama,session_20260524_231826_9ddcc5,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_231826_9ddcc5,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_231826_9ddcc5/raw/labels.csv (empty),/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260524_231826_9ddcc5/raw/dual_task.csv,7.0,977.4842857142856,0.5714285714285714,,,,,31030,2046.0,0.0,30.0,False,False,True,True,True,False
oussama,session_20260525_094746_16983b,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_094746_16983b,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_094746_16983b/raw/labels.csv (empty),/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_094746_16983b/raw/dual_task.csv (empty),,,,,,,,2018,352.0,0.0,1.8,False,False,True,True,False,False
oussama,session_20260525_094944_eed760,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_094944_eed760,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_094944_eed760/raw/labels.csv (empty),/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_094944_eed760/raw/dual_task.csv,5.0,974.0,0.4,,,,,23835,931.0,0.0,28.7,False,False,True,True,True,False
oussama,session_20260525_113028_a89e0d,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_113028_a89e0d,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_113028_a89e0d/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_113028_a89e0d/raw/dual_task.csv,5.0,796.322,0.4,,,,,29115,1502.0,0.0,30.0,True,False,True,True,True,False
oussama,session_20260525_144151_ee5291,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_144151_ee5291,62.0,63.0,61.0,60.0,60.0,64.0,36.0,37.0,38.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_144151_ee5291/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_144151_ee5291/raw/dual_task.csv,2.0,1018.76,0.5,16.0,61.0,361.0,json,28884,811.0,0.0,30.0,True,True,True,True,True,True
oussama,session_20260525_151524_a9c725,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_151524_a9c725,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_151524_a9c725/raw/labels.csv (empty),/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_151524_a9c725/raw/dual_task.csv,4.0,916.4225000000001,0.5,,,,,29744,1605.0,0.0,22.7,False,False,True,True,True,False
oussama,session_20260525_160833_1e3ee9,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_160833_1e3ee9,57.0,57.0,33.0,40.0,58.0,40.0,36.0,63.0,64.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_160833_1e3ee9/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_160833_1e3ee9/raw/dual_task.csv,2.0,2215.755,1.0,,,,,37073,1580.0,0.0,29.7,True,False,True,True,True,False
oussama,session_20260525_163947_2425a8,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_163947_2425a8,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_163947_2425a8/raw/labels.csv (error: No columns to parse from file),/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_163947_2425a8/raw/dual_task.csv (error: No columns to parse from file),,,,,,,,3865,88.0,-1.0,1.7,False,False,True,True,False,False
oussama,session_20260525_192751_6639b7,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_192751_6639b7,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_192751_6639b7/raw/labels.csv (empty),/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_192751_6639b7/raw/dual_task.csv (empty),,,,,,,,423,0.0,0.0,0.1,False,False,True,False,False,False
oussama,session_20260525_192812_b8cdc6,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_192812_b8cdc6,64.0,66.0,32.0,63.0,60.0,69.0,33.0,62.0,59.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_192812_b8cdc6/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_192812_b8cdc6/raw/dual_task.csv,6.0,479.56500000000005,0.3333333333333333,16.0,61.0,361.0,json,26360,1294.0,0.0,29.8,True,True,True,True,True,True
oussama,session_20260525_200307_b0bbbd,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_200307_b0bbbd,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_200307_b0bbbd/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_200307_b0bbbd/raw/dual_task.csv,3.0,645.22,0.3333333333333333,16.0,61.0,361.0,json,21043,1615.0,0.0,19.9,True,True,True,True,True,True
oussama,session_20260525_204344_7b89ac,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_204344_7b89ac,66.0,69.0,63.0,81.0,72.0,34.0,30.0,75.0,71.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_204344_7b89ac/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_204344_7b89ac/raw/dual_task.csv,5.0,712.984,0.4,16.0,61.0,361.0,json,20904,1077.0,0.0,28.2,True,True,True,True,True,True
oussama,session_20260525_213926_fd0c5b,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_213926_fd0c5b,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_213926_fd0c5b/raw/labels.csv (empty),/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_213926_fd0c5b/raw/dual_task.csv,6.0,1690.573333333333,0.8333333333333334,,,,,52376,2700.0,0.0,30.0,False,False,True,True,True,False
oussama,session_20260525_223855_25fb7a,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_223855_25fb7a,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_223855_25fb7a/raw/labels.csv (empty),/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_223855_25fb7a/raw/dual_task.csv,1.0,2318.09,1.0,,,,,10495,596.0,0.0,8.3,False,False,True,True,True,False
oussama,session_20260525_232112_57c6bb,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_232112_57c6bb,34.0,54.0,13.0,11.0,49.0,50.0,50.0,58.0,32.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_232112_57c6bb/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260525_232112_57c6bb/raw/dual_task.csv,5.0,1013.442,0.4,15.0,60.0,360.0,json,25802,3530.0,0.0,28.7,True,True,True,True,True,True
oussama,session_20260526_102009_2fed19,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260526_102009_2fed19,95.0,98.0,93.0,77.0,65.0,5.0,5.0,92.0,93.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260526_102009_2fed19/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260526_102009_2fed19/raw/dual_task.csv,3.0,1492.3266666666666,1.0,16.0,61.0,361.0,json,36451,2317.0,0.0,29.3,True,True,True,True,True,True
oussama,session_20260526_122927_1c6819,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260526_122927_1c6819,78.0,77.0,77.0,96.0,68.0,2.0,2.0,86.0,81.0,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260526_122927_1c6819/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/oussama/data/session_20260526_122927_1c6819/raw/dual_task.csv,4.0,1364.9775,0.75,16.0,61.0,361.0,json,34030,1858.0,0.0,29.9,True,True,True,True,True,True
